gene	tSNE_x	tSNE_y	D02_MDDC_Ifnb.resp.tsv	D03_MDDC_Ifnb.resp.tsv	D11_MDDC_Ifnb.resp.tsv	Interagrated	D02_MDDC_Ctrl_0h	D02_MDDC_Ifnb_1h	D02_MDDC_Ifnb_2h	D02_MDDC_Ifnb_4h	D02_MDDC_Ifnb_6h	D02_MDDC_Ifnb_12h	D02_MDDC_Ifnb_24h	D03_MDDC_Ctrl_0h	D03_MDDC_Ifnb_1h	D03_MDDC_Ifnb_2h	D03_MDDC_Ifnb_4h	D03_MDDC_Ifnb_6h	D03_MDDC_Ifnb_12h	D03_MDDC_Ifnb_24h	D11_MDDC_Ctrl_0h	D11_MDDC_Ifnb_1h	D11_MDDC_Ifnb_2h	D11_MDDC_Ifnb_4h	D11_MDDC_Ifnb_6h	D11_MDDC_Ifnb_12h	D11_MDDC_Ifnb_24h
SNORD2	-20.0511312742	-13.2464754751	3	5	0	2	16.81	0.0	10.39	10.48	10.81	8.47	2.95	0.0	8.36	11.51	16.01	3.87	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SNORD24	4.50922932521	-0.813550736227	0	0	1	3	0.0	0.0	9.37	0.0	0.0	0.0	0.0	0.0	2.51	0.0	0.0	3.49	0.0	0.0	0.0	0.0	6.84	0.0	0.0	0.0	0.0
SNORD31	-19.6815666963	-13.6552211173	2	0	0	2	0.0	4.19	0.0	0.0	0.0	2.95	0.0	4.48	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SNORD32A	10.0587756352	-1.76803886297	1	5	3	1	2.67	0.0	0.0	2.77	2.86	4.48	7.01	0.0	0.0	0.0	0.0	3.07	0.0	0.0	4.6	0.0	5.83	0.0	4.87	4.43	7.85
SNORD33	7.56657002991	-1.1063819182	0	5	2	3	10.48	3.13	32.41	19.07	14.05	2.2	4.59	3.34	2.17	5.98	9.99	9.04	0.0	0.0	9.0	18.01	17.11	34.27	4.76	8.67	7.68
SNORD36A	-18.7085053312	-13.7913330908	2	4	1	2	0.0	7.69	3.32	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.81	0.0	0.0	6.22	0.0	0.0
SNORD36C	-19.439938107	-14.1833928231	1	0	0	2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.97	4.11	0.0	8.27	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SNORD43	-19.6038450984	-13.6105161191	2	0	0	2	0.0	4.86	0.0	0.0	0.0	0.0	3.57	2.59	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SNORD45A	6.41927763449	-1.62264722455	5	1	0	3	0.0	0.0	0.0	2.68	2.76	4.33	0.0	0.0	2.14	2.94	0.0	2.96	0.0	0.0	4.4	0.0	0.0	0.0	0.0	0.0	0.0
SNORD45C	-19.3727205061	-14.1326827706	2	1	0	2	5.73	13.67	8.85	8.93	3.07	2.4	0.0	1.82	7.13	9.81	2.73	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SNORD5	-19.5993139786	-14.1620342474	4	4	0	2	0.0	0.0	0.0	0.0	6.77	2.65	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SNORD50B	-19.8975145459	-13.4338816309	3	5	0	2	0.0	0.0	0.0	3.42	0.0	0.0	0.0	4.19	2.73	0.0	12.54	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SNORD52	-19.3944376685	-14.2165232816	2	4	0	2	0.0	4.61	0.0	0.0	4.15	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SNORD54	-19.4503854126	-14.2845449844	0	4	0	2	0.0	0.0	8.17	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SNORD56	-19.1021120493	-14.0063421769	1	4	1	2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.56	0.0	0.0	0.0	0.0
SNORD58A	-20.0377145538	-13.7278575629	3	0	0	2	0.0	0.0	0.0	7.84	4.04	6.33	3.31	2.4	0.0	0.0	0.0	4.34	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SNORD58C	-19.6016123811	-13.7362450846	1	0	0	2	4.69	2.8	0.0	0.0	0.0	1.97	2.05	1.49	7.77	0.0	2.23	2.69	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SNORD60	4.70652698976	-0.924111443185	3	1	1	3	2.62	3.13	5.4	8.17	0.0	0.0	2.3	1.67	2.17	2.99	0.0	0.0	0.0	0.0	0.0	0.0	5.7	0.0	0.0	0.0	0.0
SNORD61	-19.518256538	-14.0472573712	1	5	0	2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.01	3.63	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SNORD63	-19.0564932518	-13.6330370591	4	4	2	2	3.51	0.0	0.0	0.0	15.07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.19	9.9	0.0	0.0	0.0
SNORD76	3.7374546533	-0.359307436082	2	0	1	3	0.0	3.24	2.8	0.0	0.0	2.28	0.0	0.0	2.25	0.0	0.0	3.12	0.0	0.0	0.0	0.0	5.96	0.0	0.0	0.0	0.0
SNORD79	-19.9539175642	-13.6033084089	1	5	0	2	0.0	3.24	0.0	2.82	0.0	0.0	9.51	0.0	0.0	0.0	2.58	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SNORD8	6.69882415727	-3.68068001448	4	0	0	3	1.82	0.0	1.87	1.89	7.8	0.0	6.38	2.32	3.02	0.0	0.0	0.0	0.0	0.0	2.74	0.0	0.0	0.0	0.0	0.0	0.0
SNORD80	-20.0920938022	-13.9083660545	5	0	0	2	0.0	0.0	3.39	0.0	0.0	8.29	2.88	2.1	0.0	0.0	0.0	3.78	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SNORD82	-18.8120912251	-13.828418983	2	4	1	2	3.03	3.62	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13.68	0.0	0.0	0.0	0.0
SNORD84	-19.878395362	-13.7655565388	5	0	0	2	5.73	0.0	0.0	0.0	0.0	2.4	0.0	0.0	2.38	0.0	2.73	6.59	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SNORD87	-19.9444959832	-13.8256877154	4	0	0	2	0.0	0.0	0.0	0.0	3.19	0.0	0.0	1.89	0.0	0.0	0.0	6.84	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SNORD89	6.15015576431	-1.308709106	0	1	1	3	132.31	36.91	352.34	275.01	226.61	83.69	198.75	175.11	163.88	235.4	54.01	106.71	27.82	21.82	375.21	246.71	354.61	158.68	154.81	167.75	163.11
SNORD9	-18.8043507064	-13.6633176463	1	1	2	2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.62	2.23	0.0	0.0	0.0	0.0	0.0	0.0	3.93	4.7	0.0	0.0	0.0
SNORD93	-19.7419538502	-14.1350867741	0	5	0	2	0.0	0.0	3.19	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SNORD94	-19.9431763297	-14.0518616518	5	1	0	2	0.0	1.63	0.0	0.0	0.0	3.45	1.2	0.0	0.0	1.56	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SNORD95	-19.7056247272	-14.3101286242	0	1	0	2	0.0	0.0	8.17	0.0	0.0	0.0	0.0	0.0	6.58	18.11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SNORD96A	-20.032300959	-14.0130873815	0	0	0	2	0.0	0.0	6.64	0.0	3.45	5.41	0.0	4.1	0.0	3.68	0.0	3.71	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SNORD99	4.18474732243	-0.427861396759	0	0	1	3	0.0	0.0	17.07	5.74	2.96	4.64	9.68	5.28	13.74	0.0	0.0	0.0	0.0	0.0	0.0	4.8	0.0	0.0	0.0	0.0	0.0
SNTB1	3.64083075763	15.3051647216	5	4	0	1	31.89	35.67	30.0	37.56	45.72	53.19	57.64	24.41	27.59	25.96	23.62	36.24	42.19	51.93	51.99	55.45	50.42	54.44	73.49	86.75	89.69
SNX1	5.90000673053	13.1001161313	1	4	3	0	28.16	32.26	29.13	30.23	30.69	36.14	47.48	27.11	28.34	29.01	24.05	35.79	47.92	56.68	26.48	29.77	29.37	28.19	32.82	35.86	43.15
SNX10	0.898605542089	15.704723456	4	4	0	1	35.12	43.57	42.74	115.8	212.42	240.62	260.81	42.23	49.11	65.56	183.04	397.87	478.79	341.58	40.82	41.35	41.96	164.65	226.46	272.78	216.94
SNX11	6.78383773123	12.4449007122	1	2	3	0	15.39	17.36	13.1	15.06	16.81	19.93	29.55	13.02	14.86	12.02	11.57	15.99	27.6	38.15	5.48	6.89	5.84	6.6	7.3	10.92	16.43
SNX14	5.43755293026	12.8255103531	1	4	3	0	44.75	51.14	49.03	61.39	55.61	63.12	81.48	42.73	44.32	49.6	45.07	54.87	79.93	92.07	38.3	44.96	42.38	44.22	50.8	63.61	76.1
SNX17	3.63469973844	5.82484647642	2	4	1	5	8.33	15.43	13.05	15.56	7.32	6.33	6.84	6.2	7.09	6.94	4.6	10.71	15.55	13.18	10.93	15.97	17.84	16.27	12.0	14.18	15.45
SNX20	1.57417819081	9.10549871387	4	4	0	1	24.51	33.41	35.66	41.78	40.36	42.02	38.48	23.38	21.84	25.47	23.29	36.72	45.37	49.91	24.12	37.9	50.57	44.75	51.26	55.01	45.64
SNX27	-1.32448234127	14.7864432493	4	4	0	1	42.14	43.52	33.6	50.77	59.1	54.11	55.78	36.48	38.96	33.32	39.94	60.58	99.08	111.71	56.77	62.08	52.42	74.12	92.63	134.0	119.69
SNX29P2	4.3724152194	5.84968320417	2	1	0	3	1.45	2.77	1.05	2.21	1.33	0.91	0.0	0.66	2.13	2.03	0.63	1.44	1.6	0.73	1.08	2.37	1.26	3.32	1.16	2.8	2.6
SNX6	0.623162708838	15.0286491541	4	4	0	1	86.21	99.54	99.6	132.51	158.93	166.66	167.11	88.44	93.8	108.06	128.83	188.48	208.38	189.96	65.39	62.26	66.62	113.48	136.3	138.36	138.78
SOAT1	2.71695182172	12.3718598887	4	4	0	0	109.68	122.7	117.28	155.43	156.03	163.68	177.94	169.72	171.98	180.95	193.04	238.26	329.69	349.5	135.9	133.21	130.54	169.35	167.17	168.09	184.86
SOCS1	1.99067876618	5.46689200451	2	4	1	4	84.85	305.79	285.15	246.18	222.71	190.55	192.35	73.96	171.94	183.66	184.13	185.3	201.29	230.93	36.82	115.07	146.66	125.62	120.55	100.99	84.17
SOCS3	2.41507920649	-0.0978516266384	2	0	1	3	8.66	412.59	43.35	9.89	9.78	7.99	11.84	13.58	472.79	39.89	9.72	12.0	9.95	17.82	28.43	537.85	47.63	12.19	9.13	15.37	20.61
SOD2	-1.23352825234	12.9298200339	5	4	2	1	135.4	177.56	218.49	364.02	453.83	503.05	469.37	189.71	242.57	388.6	610.98	761.57	858.64	723.5	121.79	205.01	301.51	591.52	497.42	362.01	221.9
SOS1	-0.871617437421	11.7962339696	4	4	0	5	17.51	15.06	11.26	38.35	40.01	35.2	43.07	18.13	16.02	12.3	36.82	43.02	45.29	54.67	24.44	21.64	16.61	53.04	57.94	58.22	63.58
SP100	-1.09872494333	12.6976175162	4	4	0	5	41.82	52.48	79.22	173.33	181.89	166.27	172.24	39.56	44.08	77.85	161.69	186.49	185.48	165.04	45.22	53.1	87.51	189.63	194.57	197.87	210.91
SP110	-1.13845724866	12.9519405202	4	5	2	5	28.43	41.99	98.62	308.89	379.13	408.22	334.2	23.28	46.74	101.15	310.04	341.96	328.01	310.51	41.3	59.08	198.62	496.61	519.58	477.3	454.05
SP140	1.68357332494	15.8719467943	5	4	0	1	5.73	6.74	12.42	43.64	78.9	145.43	118.0	5.01	6.78	9.87	34.82	81.32	122.07	116.75	9.23	7.44	17.18	63.56	95.09	136.28	126.62
SP140L	-2.07906274017	12.7786387413	4	5	2	5	12.66	14.0	17.92	53.95	61.27	55.38	45.68	10.36	12.19	17.11	50.48	66.16	55.03	45.05	13.33	15.71	23.69	62.22	71.62	59.81	52.12
SPATA13	0.787300450837	9.26412584614	3	4	2	5	22.05	30.55	52.23	91.7	76.55	69.09	56.22	12.4	17.41	41.43	47.98	52.33	61.95	58.74	31.12	41.73	79.09	122.08	122.8	129.63	117.49
SPATS2	7.2995504313	12.6024892537	1	4	3	0	2.71	2.36	2.04	1.91	2.21	3.41	4.22	3.16	3.16	2.06	2.75	4.28	6.27	7.49	2.54	2.55	2.27	2.55	2.73	2.59	3.94
SPATS2L	2.83996570969	15.6392103274	5	4	0	1	19.69	23.28	23.43	36.07	48.57	83.69	87.72	15.88	16.12	18.78	33.68	62.93	98.22	92.29	19.43	19.58	21.52	48.05	68.94	99.39	101.32
SPC25	3.57869770611	-0.0278505930669	2	0	4	3	7.42	17.84	17.12	12.12	12.53	8.14	6.71	6.01	8.68	4.72	6.92	10.65	4.24	3.19	2.11	2.56	3.23	2.5	3.34	4.05	1.93
SPG20	3.04817660901	12.7415679392	4	4	0	1	43.7	46.71	43.33	66.51	79.98	78.14	99.51	48.5	45.35	48.87	64.14	85.02	85.45	93.5	45.71	45.3	38.6	65.72	68.53	72.18	89.5
SPHK1	2.99732844496	15.4722823897	5	4	0	1	3.53	4.93	7.71	26.4	31.08	64.95	68.96	8.61	6.83	15.88	47.29	60.21	100.02	112.71	2.29	4.29	7.46	21.18	32.33	59.21	52.04
SPOCD1	-0.171387384455	17.7396497666	5	4	4	1	2.81	3.95	4.96	6.49	10.04	17.67	5.63	9.5	7.66	9.98	12.07	23.48	33.44	9.21	3.72	4.38	4.05	5.55	11.05	17.09	3.78
SPPL2A	5.48847070777	13.4923412045	1	2	0	0	113.55	123.01	120.54	127.99	146.79	229.09	313.13	106.71	120.61	134.89	125.72	165.8	218.71	303.01	69.37	71.87	69.21	85.57	97.84	141.85	157.23
SPRED1	3.03190455419	2.27083926099	0	1	1	4	27.46	40.97	79.44	37.49	32.25	50.25	46.58	20.52	34.54	84.4	24.17	27.74	38.83	32.86	29.79	43.15	68.23	33.03	20.29	30.51	40.79
SPSB1	-1.53292490307	9.48606044687	3	5	2	5	13.35	16.65	39.26	80.02	56.72	42.99	41.05	24.17	21.48	55.42	75.25	76.65	71.09	72.89	26.54	29.26	65.65	112.62	102.71	86.1	68.48
SPTLC2	-0.0713117770553	14.2232422777	4	4	0	1	12.49	13.65	14.78	42.24	53.22	49.29	50.78	12.82	14.38	18.52	47.13	70.55	81.5	80.88	17.16	17.64	22.12	59.26	85.17	102.94	91.49
SQRDL	0.72882547298	15.5641180142	5	4	0	1	124.79	140.85	171.14	255.6	313.9	355.2	330.49	157.63	170.49	213.62	288.38	371.63	412.72	357.12	84.17	88.8	112.31	184.87	230.31	257.7	223.31
SRA1	2.79686996622	6.23587089374	0	4	3	0	16.65	19.93	22.64	22.94	18.83	20.1	21.67	22.62	22.08	20.46	21.56	23.95	27.44	23.59	9.54	14.31	16.56	14.41	13.28	15.98	22.72
SRC	-2.50871069316	13.6683138204	3	4	0	5	10.67	15.04	12.98	30.63	26.07	24.49	20.9	12.71	13.38	11.79	25.23	35.98	37.12	36.77	17.53	16.62	17.5	40.97	41.46	49.73	40.73
SRD5A3-AS1	5.14742434186	12.9730955368	1	4	3	0	0.0	0.0	0.0	0.53	2.76	2.74	6.46	0.11	0.0	0.39	0.16	1.18	2.0	3.01	0.0	0.18	0.21	1.87	1.39	3.25	4.58
SRGAP2	-1.27506839233	13.7063932876	4	4	0	5	37.51	43.44	32.3	127.78	130.12	127.61	128.48	27.36	27.88	26.96	90.46	128.25	163.46	169.3	55.89	58.01	54.77	192.78	211.7	245.84	238.95
SRGAP2C	-0.999364705664	11.3643379895	3	4	2	5	18.73	30.83	38.85	91.45	80.92	64.77	91.89	14.94	17.81	27.62	58.67	99.71	91.21	90.49	13.11	15.56	24.23	96.57	75.32	89.08	75.56
SRGAP2D	-1.41443553269	13.5328737402	4	4	0	5	26.92	30.1	27.79	131.5	139.29	122.45	122.05	27.97	31.1	41.46	118.09	160.1	191.2	180.53	22.83	25.63	28.55	103.78	116.59	130.49	119.98
SRP54	-3.10408222347	11.9255751212	4	5	2	5	46.05	50.21	49.63	76.62	98.16	68.93	60.52	44.12	45.8	52.57	75.25	101.65	81.56	61.79	47.14	37.01	42.72	78.97	78.72	60.41	59.34
SRRM2-AS1	5.03201421665	-0.723705037093	0	0	2	3	0.39	0.55	2.0	1.59	0.74	1.23	0.59	0.59	1.72	0.86	0.58	1.44	0.31	0.18	0.0	0.39	0.0	0.59	0.0	0.0	0.1
SRSF5	3.34221712661	-1.20342014726	2	1	1	3	96.26	189.14	201.29	93.32	104.44	70.91	91.04	116.25	207.95	244.25	87.15	91.37	65.1	94.48	135.06	255.84	234.98	94.77	101.29	112.38	157.4
SSB	1.22298490733	15.9077433931	5	4	0	1	107.94	111.75	133.95	224.36	366.81	631.82	552.74	114.3	114.63	140.06	264.08	392.04	467.03	444.53	160.17	148.07	215.21	367.82	576.86	572.63	516.72
SSFA2	-0.358653036672	10.7813647541	3	4	2	5	35.1	40.74	37.57	64.12	55.87	49.41	56.72	33.29	38.34	38.2	54.97	61.96	70.29	76.11	44.84	46.56	53.57	81.05	75.02	76.64	83.32
SSTR2	-2.62951467386	9.19383036558	3	5	2	5	0.11	0.63	0.91	2.74	2.54	0.58	0.69	0.17	0.44	1.5	2.5	3.05	1.8	1.44	0.0	0.72	2.41	4.19	3.33	2.28	1.04
ST3GAL5	-2.97888173243	12.0186285828	3	5	2	5	37.54	43.57	68.1	197.61	195.53	125.84	106.58	36.34	38.67	52.68	159.93	209.73	158.12	110.61	37.17	43.63	70.59	211.39	229.09	175.32	123.13
ST3GAL5-AS1	0.688663410938	9.6872175535	3	4	0	5	0.29	0.85	2.34	4.57	3.34	2.26	4.86	1.08	1.42	2.75	3.78	7.82	6.75	8.16	0.13	1.0	3.27	4.59	5.82	6.7	5.38
ST6GALNAC3	6.9750898322	13.6228511291	1	2	0	0	6.9	8.43	7.65	7.64	8.97	11.95	14.88	7.87	6.9	10.38	8.57	8.2	12.96	14.96	16.88	14.91	13.9	11.76	11.29	16.66	16.76
ST8SIA4	3.71736396377	11.3340201962	1	4	0	0	17.75	20.65	17.16	27.03	31.36	22.87	36.65	9.99	10.12	9.92	13.04	23.54	23.61	34.74	19.82	19.31	20.51	27.82	39.69	38.85	53.54
STAC3	3.99815965579	16.0764478349	5	4	0	1	6.23	7.08	7.14	6.79	6.68	21.44	21.4	7.94	6.34	6.33	5.65	15.13	35.59	36.83	5.17	6.42	8.25	6.03	8.32	23.93	22.98
STAG3	4.42041569771	15.0202056346	1	4	0	1	4.76	5.04	5.42	6.34	9.05	16.19	22.22	3.42	3.45	4.4	4.68	8.8	21.04	21.82	3.51	3.86	4.02	5.57	7.99	16.62	16.87
STAG3L1	4.28515169305	0.429504110058	1	1	1	4	0.96	0.0	2.7	1.05	0.0	1.69	3.83	0.0	2.24	4.92	0.65	1.49	1.85	3.87	1.06	1.14	1.07	0.0	0.89	0.0	0.35
STAG3L5P	0.973414053614	16.1356401714	5	4	3	1	1.15	1.45	0.0	3.04	2.87	8.97	2.99	1.15	1.39	2.53	1.89	4.29	2.84	1.65	2.49	2.03	1.59	2.63	3.02	4.1	7.32
STAMBPL1	2.94297586323	2.4851556833	0	1	1	4	4.56	3.92	11.32	7.61	4.01	5.9	6.22	2.9	1.55	4.69	3.77	2.75	3.09	3.8	3.81	3.85	18.43	8.93	4.33	5.28	5.9
STAP1	3.2541606632	12.5511120681	1	2	0	0	0.21	0.99	6.22	33.6	49.96	55.02	81.83	0.0	0.78	3.92	18.13	28.7	36.66	63.3	2.12	1.87	18.19	102.98	152.51	183.48	238.28
STARD4	-1.2529733542	11.3486403248	4	5	0	5	2.83	6.43	8.32	26.76	26.72	16.87	25.17	5.28	6.58	13.24	28.6	47.18	34.46	40.13	4.48	6.08	11.44	37.03	42.82	38.82	42.21
STARD5	-2.54630744342	8.83287026392	4	5	2	5	2.51	3.43	7.52	9.95	10.01	7.04	5.35	2.9	4.37	5.47	11.86	9.64	6.46	7.6	3.42	6.98	11.54	17.61	13.71	13.99	7.15
STARD8	2.93842065951	2.35593825914	0	1	1	4	8.86	13.79	19.49	16.82	12.39	8.04	7.32	7.87	9.8	17.82	13.34	13.04	9.88	9.41	9.65	13.19	22.43	16.85	14.65	12.4	10.27
STAT1	1.45650337702	15.5494564357	5	4	0	1	101.57	141.83	187.11	511.27	745.34	925.15	912.07	89.85	108.79	180.44	432.3	830.31	1189.29	1182.24	96.7	123.78	225.1	609.32	968.18	1343.38	1249.42
STAT2	1.74233764896	15.6586770642	5	4	0	1	32.37	49.49	55.95	140.4	195.07	231.88	219.43	30.41	42.07	47.39	86.85	197.91	346.38	346.5	39.46	50.47	61.3	148.77	268.08	436.16	402.34
STAT3	-0.524161523494	11.0972793127	4	4	2	5	48.61	58.68	59.06	117.5	122.89	94.59	106.49	48.01	56.66	63.96	90.4	121.29	136.94	157.24	67.39	71.63	99.63	171.41	172.99	172.93	188.87
STAT4	-1.14896674401	9.99990269961	1	5	2	5	1.99	2.83	3.07	5.51	4.97	4.73	7.21	1.12	1.28	1.39	4.1	3.17	3.57	4.96	1.54	2.07	2.53	6.56	4.31	3.54	5.43
STAT5A	5.5797784835	15.4450785573	1	4	0	1	40.6	44.04	30.27	36.66	43.26	52.23	58.32	38.64	35.32	27.56	26.09	44.3	77.68	82.02	41.28	42.04	33.72	41.37	52.4	80.54	86.38
STBD1	-2.87965583614	12.3478363377	3	5	0	5	0.86	0.63	0.94	8.46	8.38	4.17	4.17	1.58	1.31	2.65	8.15	10.27	7.89	6.07	0.37	0.68	0.75	3.97	4.02	5.12	2.46
STEAP1B	6.23912936873	-0.861113916248	5	1	1	1	0.73	2.03	1.3	2.4	2.47	2.94	2.26	1.16	1.01	1.25	1.27	1.12	1.2	0.95	3.12	3.17	3.22	1.12	2.9	3.55	3.2
STK17A	-1.90275930874	7.94329752789	3	5	2	5	5.54	6.37	11.33	16.9	12.81	11.16	13.97	7.11	9.61	15.49	17.22	14.6	11.1	11.4	5.57	6.79	8.48	13.16	10.06	8.73	11.49
STK17B	2.38365170015	4.27029463944	0	1	1	4	22.59	64.48	73.2	45.54	40.66	26.95	28.5	18.46	55.01	72.17	26.13	30.48	30.54	29.57	22.12	47.64	64.37	49.02	40.59	38.04	41.15
STK3	-1.29242776185	13.5741698356	4	4	0	5	12.35	12.77	11.54	27.97	35.78	28.07	30.01	14.43	15.05	16.21	24.32	41.04	33.98	40.03	17.91	16.46	14.74	31.04	37.88	39.85	38.59
STK4	-2.08044588752	14.1892965908	4	4	0	5	43.12	48.71	41.49	66.81	75.67	59.21	64.22	42.98	41.97	42.29	53.23	91.66	104.29	103.5	69.51	70.62	64.64	88.14	118.21	118.71	112.94
STK40	-3.19271650789	9.95148456862	3	5	2	5	47.68	55.27	58.0	121.75	101.57	48.67	41.74	43.41	46.28	52.62	79.2	84.9	56.42	54.8	50.61	60.84	80.02	140.89	119.4	84.25	73.31
STOM	3.05569150274	15.6853012609	5	4	0	1	79.61	94.49	107.06	178.92	271.73	433.67	445.53	86.0	107.21	148.93	195.81	380.47	611.52	646.41	93.46	111.67	126.01	215.38	330.18	533.31	543.11
STOML1	-1.95050876586	13.7438434593	4	4	0	1	3.0	3.62	4.99	11.77	13.44	11.5	9.48	2.28	2.68	2.18	8.9	9.91	15.92	13.26	2.32	2.22	2.7	7.12	6.5	8.5	5.66
STON2	2.82834754796	16.7713837578	5	4	0	1	13.73	12.45	8.96	11.1	20.39	31.63	26.59	8.71	7.94	4.3	5.12	11.03	24.6	28.19	26.93	28.92	22.55	28.33	44.99	81.18	75.81
STOX1	2.04673154368	17.9519806331	1	0	0	1	0.0	0.0	0.1	0.97	1.19	2.08	3.63	0.0	0.16	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	0.0
STX11	0.72670097394	8.1258409659	0	1	2	4	13.93	52.6	87.05	102.19	97.17	64.74	63.7	17.66	51.43	107.22	101.2	101.8	84.31	77.95	20.58	60.28	104.21	144.47	119.46	102.65	94.76
STX12	-2.60803628381	8.95875693963	4	5	2	5	72.95	94.79	100.1	144.53	160.11	104.66	106.19	76.7	87.83	114.54	140.94	137.68	111.4	108.64	60.23	66.34	82.32	110.69	105.48	85.84	87.14
STX17	0.337754418677	14.4019321847	4	4	0	1	8.61	8.45	9.82	20.33	26.1	27.38	26.64	7.95	9.03	8.64	17.26	23.81	26.55	29.61	11.39	12.05	13.05	26.73	35.79	41.18	41.45
STX5	-0.483314453462	11.0576632153	3	4	0	5	37.91	35.89	38.47	58.25	54.14	48.84	50.98	31.97	35.0	29.46	51.24	53.75	65.81	78.3	39.11	42.22	43.73	66.65	68.31	78.45	76.67
SUB1	-2.19411420714	15.5027014032	4	5	0	1	74.95	74.82	87.84	112.64	156.72	150.63	124.89	59.56	59.21	79.02	108.23	136.03	120.61	80.89	64.81	60.87	71.27	105.71	130.72	108.29	93.64
SVIL-AS1	2.82469689126	12.0521942726	1	4	2	5	25.76	25.21	31.99	44.95	43.21	48.64	57.86	19.92	20.37	28.12	31.34	48.72	52.96	64.24	27.45	28.56	34.07	61.11	55.56	57.44	68.98
SWT1	-1.590530788	11.4093151714	4	4	2	5	4.82	4.3	5.55	16.53	16.92	13.01	14.16	4.45	4.46	5.04	13.99	16.33	17.39	15.8	6.85	3.95	6.73	23.01	18.49	16.4	19.43
SYNGR2	3.78935110883	11.3517322568	1	2	0	0	363.94	422.28	412.12	509.88	540.03	491.82	711.87	312.89	359.58	326.35	426.66	483.94	646.65	922.34	188.78	212.61	235.91	295.74	332.05	386.27	402.77
SYNJ2BP-COX16	5.87531662411	12.3217131426	5	4	3	0	0.0	0.0	1.6	2.53	2.26	4.84	5.33	0.0	0.14	0.0	1.1	0.0	2.63	2.82	0.0	0.0	0.0	0.0	0.0	0.0	5.75
SYS1-DBNDD2	-0.663562155199	10.0240305282	3	5	1	5	0.0	1.42	0.0	7.92	0.0	0.57	0.0	0.0	0.0	0.0	0.0	2.78	0.0	1.98	0.0	3.95	5.57	0.0	6.08	0.0	3.61
SYTL3	5.3955923607	13.7170142139	1	4	3	0	2.61	3.21	4.48	4.66	6.26	9.77	13.28	4.21	2.84	3.13	4.37	7.96	14.02	17.34	4.56	5.5	5.37	5.08	6.95	10.87	15.0
TAF1A	3.6087649629	12.5098486722	5	4	3	0	2.89	1.46	2.69	6.0	4.39	6.26	6.9	2.88	1.98	1.76	4.54	7.97	7.07	8.27	2.4	1.63	1.8	2.61	3.28	3.8	5.97
TAF1B	-1.39372150636	12.6916732669	4	4	0	5	6.59	6.81	7.28	15.26	14.8	13.02	14.18	5.97	6.48	9.08	11.14	16.89	14.12	14.15	7.93	6.12	9.25	15.4	15.91	16.5	14.53
TAGAP	2.02764019523	5.57476677785	4	1	0	4	22.56	113.44	108.61	116.29	119.99	97.55	93.66	15.27	92.74	90.49	66.72	67.74	85.83	100.19	35.02	150.46	159.81	154.71	144.11	169.17	210.05
