gene	tSNE_x	tSNE_y	D02_MDDC_Ifnb.resp.tsv	D03_MDDC_Ifnb.resp.tsv	D11_MDDC_Ifnb.resp.tsv	Interagrated	D02_MDDC_Ctrl_0h	D02_MDDC_Ifnb_1h	D02_MDDC_Ifnb_2h	D02_MDDC_Ifnb_4h	D02_MDDC_Ifnb_6h	D02_MDDC_Ifnb_12h	D02_MDDC_Ifnb_24h	D03_MDDC_Ctrl_0h	D03_MDDC_Ifnb_1h	D03_MDDC_Ifnb_2h	D03_MDDC_Ifnb_4h	D03_MDDC_Ifnb_6h	D03_MDDC_Ifnb_12h	D03_MDDC_Ifnb_24h	D11_MDDC_Ctrl_0h	D11_MDDC_Ifnb_1h	D11_MDDC_Ifnb_2h	D11_MDDC_Ifnb_4h	D11_MDDC_Ifnb_6h	D11_MDDC_Ifnb_12h	D11_MDDC_Ifnb_24h
BAHCC1	-17.1780988037	-5.31493474515	5	3	4	6	1.01	1.24	0.95	1.33	1.6	2.52	3.18	0.97	0.85	0.89	1.21	2.06	4.75	5.67	0.87	0.82	1.08	1.39	2.45	5.4	4.4
BAK1	-11.0707568887	6.76363256933	4	3	4	6	27.67	31.06	55.47	174.43	159.55	127.29	147.75	21.38	24.78	41.39	123.54	149.8	134.65	142.79	13.83	17.86	29.72	92.8	96.48	99.32	93.96
BAMBI	-7.03072867562	7.22193455629	3	5	2	5	0.18	0.33	1.22	4.44	3.9	1.07	1.43	0.06	0.53	0.83	4.16	2.82	2.13	0.98	0.08	0.09	0.22	2.77	1.71	0.64	0.63
BARD1	-9.07052972018	6.27278663048	4	3	2	6	4.09	3.53	8.27	17.35	15.48	11.82	14.04	2.75	2.79	8.37	15.38	14.01	15.42	15.76	5.59	4.82	9.81	20.14	18.08	19.06	19.81
BASP1	-14.3500662117	-7.14470464403	5	2	3	6	32.27	43.6	40.78	48.87	53.02	70.89	85.28	63.6	60.21	77.97	82.43	77.21	80.16	102.1	43.65	42.29	45.68	44.8	47.03	52.53	56.61
BATF	4.02224594466	-4.88958824295	0	1	1	3	49.47	62.66	96.9	46.67	24.62	35.44	26.18	56.78	64.13	103.11	45.03	22.52	28.7	30.18	68.63	91.29	145.51	58.52	31.77	24.78	24.94
BATF2	-0.859814217111	3.64979254981	4	3	2	4	3.32	69.91	115.86	116.19	108.81	99.13	91.58	3.49	49.97	102.88	86.25	112.54	118.18	116.69	4.24	78.36	137.88	105.23	112.65	116.65	93.95
BATF3	-9.8146744999	4.32246314574	5	3	2	6	130.09	161.42	214.8	255.61	251.75	300.7	286.88	98.09	117.8	148.32	243.36	231.55	234.7	207.6	68.3	75.5	114.02	172.44	182.54	159.97	147.53
BAZ1A	-7.45009878871	6.68739232367	3	5	2	5	36.07	38.79	71.97	230.9	185.37	118.08	93.25	35.18	36.76	77.58	205.44	166.46	122.32	97.55	43.9	45.64	107.13	313.62	214.61	158.17	118.3
BAZ2A	-9.58314158995	9.37174370629	3	3	2	6	19.17	20.77	21.22	50.67	39.89	31.37	33.36	15.76	16.69	17.94	38.4	44.2	47.84	49.53	19.84	23.08	27.8	69.31	58.32	63.2	55.7
